Ballot ID,Abby,Cora,Erin,Dave,Brad
b87,1,2,3,4,5
b88,1,2,3,4,5
b89,1,2,3,4,5
b90,1,2,3,4,5
b91,1,2,3,4,5
b92,1,2,3,4,5
b93,1,2,3,4,5
b94,1,2,3,4,5
b95,1,2,3,4,5
b96,1,2,3,4,5
b97,1,2,3,4,5
b98,1,2,3,4,5
b99,2,4,3,5,1
b100,2,4,3,5,1
b101,2,4,3,5,1
b102,2,4,3,5,1
b103,2,4,3,5,1
b104,2,4,3,5,1
b105,2,4,3,5,1
b106,2,4,3,5,1
b107,2,4,3,5,1
b108,2,4,3,5,1
b109,2,4,3,5,1
b110,2,4,3,5,1
b111,2,4,3,5,1
b112,2,4,3,5,1
b113,2,4,3,5,1
b114,2,4,3,5,1
b115,2,4,3,5,1
b116,2,4,3,5,1
b117,2,4,3,5,1
b118,2,4,3,5,1
b119,2,4,3,5,1
b120,2,4,3,5,1
b121,2,4,3,5,1
b122,2,4,3,5,1
b123,2,4,3,5,1
b124,2,4,3,5,1
b125,2,4,3,5,1
b126,2,4,3,5,1
b127,2,4,3,5,1
b128,2,4,3,5,1
b129,2,4,3,5,1
b130,2,4,3,5,1
b131,2,4,3,5,1
b132,2,4,3,5,1
b133,2,4,3,5,1
b134,2,4,3,5,1
b135,2,4,3,5,1
b136,2,4,3,5,1
b137,2,4,3,5,1
b138,2,4,3,5,1
b139,2,4,3,5,1
b140,2,4,3,5,1
b141,2,4,3,5,1
b142,2,4,3,5,1
b143,2,4,3,5,1
b144,2,4,3,5,1
b145,2,4,3,5,1
b146,2,4,3,5,1
b147,2,4,3,5,1
b148,2,4,3,5,1
b149,2,4,3,5,1
b150,2,4,3,5,1
b151,2,4,3,5,1
b152,2,4,3,5,1
b153,2,4,3,5,1
b154,2,4,3,5,1
b155,2,4,3,5,1
b156,2,4,3,5,1
b157,2,4,3,5,1
b158,2,4,3,5,1
b159,2,4,3,5,1
b160,2,4,3,5,1
b161,2,4,3,5,1
b162,2,4,3,5,1
b163,2,5,3,4,1
b164,2,5,3,4,1
b165,2,5,3,4,1
b166,2,5,3,4,1
b167,2,5,3,4,1
b168,2,5,3,4,1
b169,2,5,3,4,1
b170,2,5,3,4,1
b171,2,5,3,4,1
b172,2,5,3,4,1
b173,2,5,3,4,1
b174,2,5,3,4,1
b175,3,4,2,5,1
b176,3,4,2,5,1
b177,3,4,2,5,1
b178,3,4,2,5,1
b179,3,4,2,5,1
b180,3,4,2,5,1
b181,3,4,2,5,1
b182,3,4,2,5,1
b183,3,4,2,5,1
b184,3,4,2,5,1
b185,3,4,2,5,1
b186,3,4,2,5,1
b187,3,4,2,5,1
b188,3,4,2,5,1
b189,3,4,2,5,1
b190,3,4,2,5,1
b191,3,4,2,5,1
b192,3,4,2,5,1
b193,3,4,2,5,1
b194,3,4,2,5,1
b195,3,4,2,5,1
b196,3,4,2,5,1
b197,3,4,2,5,1
b198,3,4,2,5,1
b199,3,4,2,5,1
b200,3,4,2,5,1
b201,3,4,2,5,1
b202,3,4,2,5,1
b203,3,4,2,5,1
b204,3,4,2,5,1
b205,3,4,2,5,1
b206,3,4,2,5,1
b207,3,4,2,5,1
b208,3,4,2,5,1
b209,3,4,2,5,1
b210,3,4,2,5,1
b211,3,4,2,5,1
b212,3,4,2,5,1
b213,3,4,2,5,1
b214,3,4,2,5,1
b215,3,4,2,5,1
b216,3,4,2,5,1
b217,3,4,2,5,1
b218,3,4,2,5,1
b219,3,4,2,5,1
b220,3,4,2,5,1
b221,3,4,2,5,1
b222,3,4,2,5,1
b223,3,4,2,5,1
b224,3,4,2,5,1
b225,3,4,2,5,1
b226,3,4,2,5,1
b227,3,4,2,5,1
b228,3,4,2,5,1
b229,3,4,2,5,1
b230,3,4,2,5,1
b231,3,4,2,5,1
b232,3,4,2,5,1
b233,3,4,2,5,1
b234,3,4,2,5,1
b235,3,4,2,5,1
b236,3,4,2,5,1
b237,3,4,2,5,1
b238,3,4,2,5,1
b239,3,4,2,5,1
b240,3,4,2,5,1
b241,3,4,2,5,1
b242,3,4,2,5,1
b243,3,4,2,5,1
b244,3,4,2,5,1
b245,3,4,2,5,1
b246,3,4,2,5,1
b247,3,4,2,5,1
b248,3,4,2,5,1
b249,3,4,2,5,1
b250,3,4,2,5,1
b251,3,4,2,5,1
b252,3,4,2,5,1
b253,3,4,2,5,1
b254,3,4,2,5,1
b255,3,4,2,5,1
b256,3,4,2,5,1
b257,3,4,2,5,1
b258,3,4,2,5,1
b259,3,4,2,5,1
b260,3,4,2,5,1
b261,3,4,2,5,1
b262,3,4,2,5,1
b263,3,4,2,5,1
b264,3,4,2,5,1
b265,3,4,2,5,1
b266,3,4,2,5,1
b267,3,4,2,5,1
b268,3,4,2,5,1
b269,3,4,2,5,1
b270,3,4,2,5,1
b271,3,4,2,5,1
b272,3,4,2,5,1
b273,3,5,2,4,1
b274,3,5,2,4,1
b275,3,5,2,4,1
b276,3,5,2,4,1
b277,3,5,2,4,1
b278,3,5,2,4,1
b279,3,5,2,4,1
b280,3,5,2,4,1
b281,3,5,2,4,1
b282,3,5,2,4,1
b283,3,5,2,4,1
b284,3,5,2,4,1
b285,3,5,2,4,1
b286,4,5,2,3,1
b287,4,5,2,3,1
b288,4,5,2,3,1
b289,4,5,2,3,1
b290,4,5,2,3,1
b291,4,5,2,3,1
b292,4,5,2,3,1
b293,4,5,2,3,1
b294,4,5,2,3,1
b295,4,5,2,3,1
b296,4,5,2,3,1
b297,4,5,2,3,1
b298,4,5,2,3,1
b299,4,5,2,3,1
b300,4,5,2,3,1
b301,4,5,2,3,1
b302,4,5,2,3,1
b303,4,5,2,3,1
b304,4,5,2,3,1
b305,4,5,2,3,1
b306,4,5,2,3,1
b307,4,5,2,3,1
b308,4,5,2,3,1
b309,4,5,2,3,1
b310,4,5,2,3,1
b311,4,5,2,3,1
b312,4,5,2,3,1
b313,4,5,2,3,1
b314,4,5,2,3,1
b315,4,5,2,3,1
b316,4,5,2,3,1
b317,4,5,2,3,1
b318,4,5,2,3,1
b319,4,5,2,3,1
b320,4,5,2,3,1
b321,4,5,2,3,1
b322,4,5,2,3,1
b323,4,5,2,3,1
b324,4,5,2,3,1
b325,4,5,2,3,1
b326,4,5,2,3,1
b327,4,5,2,3,1
b328,4,5,2,3,1
b329,4,5,2,3,1
b330,4,5,2,3,1
b331,4,5,2,3,1
b332,4,5,2,3,1
b333,4,5,2,3,1
b334,4,5,2,3,1
b335,4,5,2,3,1
b336,4,5,2,3,1
b337,4,5,2,3,1
b338,4,5,2,3,1
b339,4,5,2,3,1
b340,4,5,2,3,1
b341,4,5,2,3,1
b342,4,5,2,3,1
b343,4,5,2,3,1
b344,4,5,2,3,1
b345,4,5,2,3,1
b346,4,5,2,3,1
b347,4,5,2,3,1
b348,4,5,2,3,1
b349,4,5,2,3,1
b350,4,5,2,3,1
b351,4,5,2,3,1
b352,4,5,2,3,1
b353,4,5,2,3,1
b354,4,5,2,3,1
b355,4,5,2,3,1
b356,4,5,2,3,1
b357,4,5,2,3,1
b358,4,5,2,3,1
b359,4,5,2,3,1
b360,4,5,2,3,1
b361,4,5,2,3,1
b362,4,5,2,3,1
b363,4,5,2,3,1
b364,4,5,2,3,1
b365,4,5,2,3,1
b366,4,5,2,3,1
b367,4,5,2,3,1
b368,4,5,2,3,1
b369,4,5,2,3,1
b370,4,5,2,3,1
b371,4,5,2,3,1
b372,4,5,2,3,1
b373,4,5,2,3,1
b374,4,5,2,3,1
b375,4,5,2,3,1
b376,4,5,2,3,1
b377,4,5,2,3,1
b378,4,5,2,3,1
b379,4,5,2,3,1
b380,4,5,2,3,1
b381,4,5,2,3,1
b382,4,5,2,3,1
b383,4,5,2,3,1
b384,4,5,2,3,1
b385,4,5,2,3,1
b386,4,5,2,3,1
b387,4,5,2,3,1
b388,4,5,2,3,1
b389,4,5,2,3,1
b390,4,5,2,3,1
b391,4,5,2,3,1
b392,4,5,2,3,1
b393,4,5,2,3,1
b394,4,5,2,3,1
b395,4,5,2,3,1
b396,4,5,2,3,1
b397,4,5,2,3,1
b398,4,5,2,3,1
b399,4,5,2,3,1
b400,4,5,2,3,1
b401,4,5,2,3,1
b402,4,5,2,3,1
b403,4,5,2,3,1
b404,4,5,2,3,1
b405,4,5,2,3,1
b406,4,5,2,3,1
b407,4,5,2,3,1
b408,4,5,2,3,1
b409,4,5,2,3,1
b410,4,5,2,3,1
b411,2,1,3,4,5
b412,2,1,3,4,5
b413,2,1,3,4,5
b414,2,1,3,4,5
b415,2,1,3,4,5
b416,2,1,3,4,5
b417,2,1,3,4,5
b418,2,1,3,4,5
b419,2,1,3,4,5
b420,2,1,3,4,5
b421,2,1,3,4,5
b422,2,1,3,4,5
b423,2,1,3,4,5
b424,2,1,3,4,5
b425,2,1,3,4,5
b426,2,1,3,4,5
b427,2,1,3,4,5
b428,2,1,3,4,5
b429,2,1,3,4,5
b430,2,1,3,4,5
b431,2,1,3,4,5
b432,2,1,3,4,5
b433,2,1,3,4,5
b434,2,1,3,4,5
b435,2,1,3,4,5
b436,2,1,3,4,5
b437,2,1,3,4,5
b438,2,1,3,4,5
b439,2,1,3,4,5
b440,2,1,3,4,5
b441,2,1,3,4,5
b442,2,1,3,4,5
b443,2,1,3,4,5
b444,2,1,3,4,5
b445,2,1,3,4,5
b446,2,1,3,4,5
b447,2,1,3,4,5
b448,2,1,3,4,5
b449,2,1,3,4,5
b450,2,1,3,4,5
b451,2,1,3,4,5
b452,2,1,3,4,5
b453,2,1,3,4,5
b454,2,1,3,4,5
b455,2,1,3,4,5
b456,2,1,3,4,5
b457,2,1,3,4,5
b458,2,1,3,4,5
b459,2,1,3,4,5
b460,2,1,3,4,5
b461,2,1,3,4,5
b462,2,1,3,4,5
b463,2,1,3,4,5
b464,2,1,3,4,5
b465,2,1,3,4,5
b466,2,1,3,4,5
b467,2,1,3,4,5
b468,2,1,3,4,5
b469,2,1,3,4,5
b470,2,1,3,4,5
b471,2,1,3,4,5
b472,2,1,3,4,5
b473,2,1,3,4,5
b474,2,1,3,4,5
b475,2,1,3,4,5
b476,2,1,3,4,5
b477,2,1,3,4,5
b478,2,1,3,4,5
b479,2,1,3,4,5
b480,2,1,3,4,5
b481,2,1,3,4,5
b482,2,1,3,4,5
b483,2,1,3,4,5
b484,2,1,3,4,5
b485,2,1,3,4,5
b486,2,1,3,4,5
b487,2,1,3,4,5
b488,2,1,3,4,5
b489,2,1,3,4,5
b490,2,1,3,4,5
b491,2,1,3,4,5
b492,2,1,3,4,5
b493,2,1,3,4,5
b494,2,1,3,4,5
b495,2,1,3,4,5
b496,2,1,3,4,5
b497,2,1,3,4,5
b498,2,1,3,4,5
b499,2,1,3,4,5
b500,2,1,3,4,5
b501,2,1,3,4,5
b502,2,1,3,4,5
b503,2,1,3,4,5
b504,2,1,3,4,5
b505,2,1,3,4,5
b506,2,1,3,4,5
b507,2,1,3,4,5
b508,2,1,3,4,5
b509,2,1,3,4,5
b510,2,1,3,4,5
b511,2,1,3,4,5
b512,2,1,3,4,5
b513,2,1,3,4,5
b514,2,1,3,4,5
b515,2,1,3,4,5
b516,2,1,3,4,5
b517,2,1,3,4,5
b518,2,1,3,4,5
b519,2,1,3,4,5
b520,2,1,3,4,5
b521,2,1,3,4,5
b522,2,1,3,4,5
b523,2,1,3,4,5
b524,2,1,3,4,5
b525,2,1,3,4,5
b526,2,1,3,4,5
b527,2,1,3,4,5
b528,2,1,3,4,5
b529,2,1,3,4,5
b530,2,1,3,4,5
b531,2,1,3,4,5
b532,2,1,3,4,5
b533,2,1,3,4,5
b534,2,1,3,4,5
b535,3,1,2,4,5
b536,3,1,2,4,5
b537,3,1,2,4,5
b538,3,1,2,4,5
b539,3,1,2,4,5
b540,3,1,2,4,5
b541,3,1,2,4,5
b542,3,1,2,4,5
b543,3,1,2,4,5
b544,3,1,2,4,5
b545,3,1,2,4,5
b546,3,1,2,4,5
b547,3,1,2,4,5
b548,3,1,2,4,5
b549,3,1,2,4,5
b550,3,1,2,4,5
b551,3,1,2,4,5
b552,3,1,2,4,5
b553,3,1,2,4,5
b554,3,1,2,4,5
b555,3,1,2,4,5
b556,3,1,2,4,5
b557,3,1,2,4,5
b558,3,1,2,4,5
b559,3,1,2,4,5
b560,3,1,2,4,5
b561,3,1,2,4,5
b562,3,1,2,4,5
b563,3,1,2,4,5
b564,3,1,2,4,5
b565,3,1,2,4,5
b566,3,1,2,4,5
b567,3,1,2,4,5
b568,3,1,2,4,5
b569,3,1,2,4,5
b570,3,1,2,4,5
b571,3,1,2,4,5
b572,3,1,2,4,5
b573,3,1,2,4,5
b574,3,1,2,4,5
b575,3,1,2,4,5
b576,3,1,2,4,5
b577,3,1,2,4,5
b578,3,1,2,4,5
b579,3,1,2,4,5
b580,3,1,2,4,5
b581,3,1,2,4,5
b582,3,1,2,4,5
b583,3,1,2,4,5
b584,3,1,2,4,5
b585,3,1,2,4,5
b586,3,1,2,4,5
b587,3,1,2,4,5
b588,3,1,2,4,5
b589,3,1,2,4,5
b590,3,1,2,4,5
b591,3,1,2,4,5
b592,3,1,2,4,5
b593,3,1,2,4,5
b594,3,1,2,4,5
b595,3,1,2,4,5
b596,3,1,2,4,5
b597,3,1,2,4,5
b598,3,1,2,4,5
b599,3,1,2,4,5
b600,3,1,2,4,5
b601,3,1,2,4,5
b602,3,1,2,4,5
b603,3,1,2,4,5
b604,3,1,2,4,5
b605,3,1,2,4,5
b606,3,1,2,4,5
b607,3,1,2,4,5
b608,3,1,2,4,5
b609,3,1,2,4,5
b610,3,1,2,4,5
b611,2,5,4,1,3
b612,2,5,4,1,3
b613,2,5,4,1,3
b614,2,5,4,1,3
b615,2,5,4,1,3
b616,2,5,4,1,3
b617,2,5,4,1,3
b618,2,5,4,1,3
b619,2,5,4,1,3
b620,2,5,4,1,3
b621,2,5,4,1,3
b622,2,5,4,1,3
b623,2,5,4,1,3
b624,2,5,4,1,3
b625,2,5,4,1,3
b626,2,5,4,1,3
b627,2,5,4,1,3
b628,2,5,4,1,3
b629,2,5,4,1,3
b630,2,5,4,1,3
b631,2,5,4,1,3
b632,3,5,4,1,2
b633,3,5,4,1,2
b634,3,5,4,1,2
b635,3,5,4,1,2
b636,3,5,4,1,2
b637,3,5,4,1,2
b638,3,5,4,1,2
b639,3,5,4,1,2
b640,3,5,4,1,2
b641,3,5,4,1,2
b642,3,5,4,1,2
b643,3,5,4,1,2
b644,3,5,4,1,2
b645,3,5,4,1,2
b646,3,5,4,1,2
b647,3,5,4,1,2
b648,3,5,4,1,2
b649,3,5,4,1,2
b650,3,5,4,1,2
b651,3,5,4,1,2
b652,3,5,4,1,2
b653,3,5,4,1,2
b654,3,5,4,1,2
b655,3,5,4,1,2
b656,3,5,4,1,2
b657,3,5,4,1,2
b658,3,5,4,1,2
b659,3,5,4,1,2
b660,3,5,4,1,2
b661,3,5,4,1,2
b662,5,4,3,1,2
b663,5,4,3,1,2
b664,5,4,3,1,2
b665,5,4,3,1,2
b666,5,4,3,1,2
b667,5,4,3,1,2
b668,5,4,3,1,2
b669,5,4,3,1,2
b670,5,4,3,1,2
b671,5,4,3,1,2
b672,5,4,3,1,2
b673,5,4,3,1,2
b674,5,4,3,1,2
b675,5,4,3,1,2
b676,5,4,3,1,2
b677,5,4,3,1,2
b678,5,4,3,1,2
b679,5,4,3,1,2
b680,5,4,3,1,2
b681,5,4,3,1,2
b682,5,4,3,1,2
b683,5,4,3,1,2
b684,5,4,3,1,2
b685,5,4,3,1,2
b686,5,4,3,1,2
b687,5,4,3,1,2
b688,5,4,3,1,2
b689,5,4,3,1,2
b690,5,4,3,1,2
b691,5,4,3,1,2
b692,5,4,3,1,2
b693,5,4,3,1,2
b694,5,4,3,1,2
b695,5,4,3,1,2
b696,5,4,3,1,2
b697,5,4,3,1,2
b698,5,4,3,1,2
b699,5,4,3,1,2
b700,5,4,3,1,2
b701,5,4,3,1,2
b702,5,4,3,1,2
b703,5,4,3,1,2
b704,5,4,3,1,2
b705,5,4,3,1,2
b706,5,4,3,1,2
b707,5,4,3,1,2
b708,5,4,3,1,2
b709,5,4,3,1,2
b710,5,4,3,1,2
b711,5,4,3,1,2
b712,5,4,3,1,2
b713,5,4,3,1,2
b714,5,4,3,1,2
b715,5,4,3,1,2
b716,5,4,3,1,2
b717,5,4,3,1,2
b718,5,4,3,1,2
b719,5,4,3,1,2
b720,5,4,3,1,2
b721,5,4,3,1,2
b722,5,4,3,1,2
b723,5,4,3,1,2
b724,5,4,3,1,2
b725,5,4,3,1,2
b726,5,4,3,1,2
b727,5,4,3,1,2
b728,5,4,3,1,2
b729,5,4,3,1,2
b730,5,4,3,1,2
b731,5,4,3,1,2
b732,5,4,3,1,2
b733,5,4,3,1,2
b734,5,4,3,1,2
b735,5,4,3,1,2
b736,5,4,3,1,2
b737,5,4,3,1,2
b738,5,4,3,1,2
b739,5,4,3,1,2
b740,5,4,3,1,2
b741,5,4,3,1,2
b742,5,4,3,1,2
b743,5,4,3,1,2
b744,5,4,3,1,2
b745,5,4,3,1,2
b746,5,4,3,1,2
b747,5,4,3,1,2
b748,5,4,3,1,2
b749,5,4,3,1,2
b750,5,4,3,1,2
b751,5,4,3,1,2
b752,5,4,3,1,2
b753,5,4,3,1,2
b754,5,4,3,1,2
b755,5,4,3,1,2
b756,5,4,3,1,2
b757,5,4,3,1,2
b758,5,4,3,1,2
b759,5,4,3,1,2
b760,3,2,5,1,4
b761,3,2,5,1,4
b762,3,2,5,1,4
b763,3,2,5,1,4
b764,3,2,5,1,4
b765,3,2,5,1,4
b766,3,2,5,1,4
b767,3,2,5,1,4
b768,3,2,5,1,4
b769,3,2,5,1,4
b770,3,2,5,1,4
b771,3,2,5,1,4
b772,3,2,5,1,4
b773,3,2,5,1,4
b774,3,2,5,1,4
b775,3,2,5,1,4
b776,3,2,5,1,4
b777,3,2,5,1,4
b778,3,2,5,1,4
b779,3,2,5,1,4
b780,3,2,5,1,4
b781,3,2,5,1,4
b782,3,2,5,1,4
b783,3,2,5,1,4
b784,3,2,5,1,4
b785,3,2,5,1,4
b786,3,2,5,1,4
b787,3,2,5,1,4
b788,3,2,5,1,4
b789,3,2,5,1,4
b790,3,2,5,1,4
b791,3,2,5,1,4
b792,3,2,5,1,4
b793,3,2,5,1,4
b794,3,2,5,1,4
b795,3,2,5,1,4
b796,3,2,5,1,4
b797,3,2,5,1,4
b798,3,2,5,1,4
b799,3,2,5,1,4
b800,3,2,5,1,4
b801,3,2,5,1,4
b802,3,2,5,1,4
b803,3,2,5,1,4
b804,3,2,5,1,4
b805,3,2,5,1,4
b806,3,2,5,1,4
b807,3,2,5,1,4
b808,3,2,5,1,4
b809,3,2,5,1,4
b810,3,2,5,1,4
b811,3,2,5,1,4
b812,3,2,5,1,4
b813,3,2,5,1,4
b814,3,2,5,1,4
b815,3,2,5,1,4
b816,3,2,5,1,4
b817,3,2,5,1,4
b818,3,2,5,1,4
b819,3,2,5,1,4
b820,3,2,5,1,4
b821,3,2,5,1,4
b822,3,2,5,1,4
b823,3,2,5,1,4
b824,3,2,5,1,4
b825,3,2,5,1,4
b826,3,2,5,1,4
b827,3,2,5,1,4
b828,3,2,5,1,4
b829,3,2,5,1,4
b830,3,2,5,1,4
b831,3,2,5,1,4
b832,3,2,5,1,4
b833,3,2,5,1,4
b834,3,2,5,1,4
b835,3,2,5,1,4
b836,3,2,5,1,4
b837,3,2,5,1,4
b838,3,2,5,1,4
b839,3,2,5,1,4
b840,3,2,5,1,4
b841,3,2,5,1,4
b842,3,2,5,1,4
b843,3,2,5,1,4
b844,3,2,5,1,4
b845,3,2,5,1,4
b846,3,2,5,1,4
b847,3,2,5,1,4
b848,3,2,5,1,4
b849,3,2,5,1,4
b850,3,2,5,1,4
b851,3,2,5,1,4
b852,3,2,5,1,4
b853,3,2,5,1,4
b854,3,2,5,1,4
b855,3,2,5,1,4
b856,3,2,5,1,4
b857,3,2,5,1,4
b858,3,2,5,1,4
b859,3,2,5,1,4
b860,3,2,5,1,4
b861,3,2,5,1,4
b862,3,2,5,1,4
b863,3,2,5,1,4
b864,3,2,5,1,4
b865,3,2,5,1,4
b866,3,2,5,1,4
b867,3,2,5,1,4
b868,3,2,5,1,4
b869,3,2,5,1,4
b870,3,2,5,1,4
b871,3,2,5,1,4
b872,3,2,5,1,4
b873,3,2,5,1,4
b874,3,2,5,1,4
b875,3,2,5,1,4
b876,3,2,5,1,4
b877,3,2,5,1,4
b878,3,2,5,1,4
b879,3,2,5,1,4
b880,3,2,5,1,4
b881,3,2,5,1,4
b882,3,2,5,1,4
b883,3,2,5,1,4
b884,3,2,5,1,4
b885,3,2,5,1,4
b886,3,2,5,1,4
b887,3,2,5,1,4
b888,3,2,5,1,4
b889,3,2,5,1,4
b890,3,2,5,1,4
b891,3,2,5,1,4
b892,3,2,5,1,4
b893,3,2,5,1,4
b894,3,2,5,1,4
b895,3,2,5,1,4
b896,3,2,5,1,4
b897,3,2,5,1,4
b898,3,2,5,1,4
b899,4,2,5,1,3
b900,4,2,5,1,3
b901,4,2,5,1,3
b902,4,2,5,1,3
b903,4,2,5,1,3
b904,4,2,5,1,3
b905,4,2,5,1,3
b906,4,2,5,1,3
b907,4,2,5,1,3
b908,4,2,5,1,3
b909,4,2,5,1,3
b910,4,2,5,1,3
b911,4,2,5,1,3
b912,4,2,5,1,3
b913,4,2,5,1,3
b914,4,2,5,1,3
b915,4,2,5,1,3
b916,4,2,5,1,3
b917,4,2,5,1,3
b918,4,2,5,1,3
b919,4,2,5,1,3
b920,4,2,5,1,3
b921,4,2,5,1,3
